student_name,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,total_classes,attended_classes,attendance_rate,current_grade
Aisha Mohammed,Present,Present,Present,Absent,Present,Present,Present,Present,24,23,95.8,88
Khalid Ahmed,Present,Present,Absent,Present,Present,Absent,Present,Present,24,22,91.7,82
Fatima Hassan,Present,Present,Present,Present,Present,Present,Present,Present,24,24,100.0,94
Ibrahim Youssef,Absent,Present,Present,Absent,Absent,Present,Present,Absent,24,18,75.0,68
Mariam Saeed,Present,Present,Present,Present,Present,Present,Present,Present,24,24,100.0,91
Omar Ali,Present,Absent,Present,Present,Absent,Present,Absent,Present,24,21,87.5,76
Layla Mahmoud,Present,Present,Present,Present,Present,Present,Present,Present,24,24,100.0,89
Hassan Karim,Present,Present,Absent,Absent,Present,Absent,Present,Present,24,20,83.3,72
Nour Farah,Present,Present,Present,Present,Present,Present,Present,Absent,24,23,95.8,87
Tariq Nasser,Absent,Absent,Present,Present,Absent,Present,Present,Present,24,19,79.2,70
Rania Ibrahim,Present,Present,Present,Present,Present,Present,Present,Present,24,24,100.0,93
Ziad Rashid,Present,Present,Present,Absent,Present,Present,Absent,Present,24,22,91.7,84
