student_name,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,average_participation,verbal_contributions,group_work_engagement
Emre Yilmaz,7,8,7,8,9,8,9,8,8.0,High,Excellent
Ayse Demir,5,6,6,7,7,7,8,7,6.6,Moderate,Good
Mehmet Kaya,3,4,4,5,5,5,6,5,4.6,Low,Satisfactory
Zeynep Arslan,9,9,8,9,9,9,9,9,8.9,Very High,Excellent
Ahmet Celik,6,7,7,7,8,7,8,8,7.3,Good,Good
Fatma Ozturk,4,5,5,6,6,6,7,6,5.6,Moderate,Satisfactory
Burak Simsek,8,8,9,8,9,9,9,9,8.6,Very High,Excellent
Elif Yildiz,6,6,7,7,7,8,7,8,7.0,Good,Good
Can Aydin,2,3,3,4,4,4,5,4,3.6,Very Low,Needs Improvement
Selin Koc,8,8,8,9,8,9,9,8,8.4,High,Excellent
Baris Dogan,5,6,6,6,7,7,7,7,6.4,Moderate,Good
Deniz Sahin,9,9,9,9,9,9,9,9,9.0,Very High,Outstanding
