Student Name,Test 1 (Reading),Test 2 (Reading),Test 3 (Reading),Test 4 (Reading),Test 5 (Reading),Test 1 (Listening),Test 2 (Listening),Test 3 (Listening),Test 4 (Listening),Test 5 (Listening),Test 1 (Writing),Test 2 (Writing),Test 3 (Writing),Test 4 (Writing),Test 5 (Writing),Test 1 (Speaking),Test 2 (Speaking),Test 3 (Speaking),Test 4 (Speaking),Test 5 (Speaking)
Alejandro Ruiz,10,10,7,6,9,9,6,8,5,10,6,9,5,9,9,8,9,5,7,7
Beatriz Muñoz,5,7,7,8,8,9,8,5,10,9,7,8,7,8,8,9,7,7,5,10
Carmen López,6,5,5,10,7,10,9,8,8,9,5,7,8,7,9,7,5,7,5,9
Diego Martínez,10,8,7,7,6,7,10,6,6,8,5,8,8,5,8,9,8,6,8,8
Elena García,9,9,8,6,5,8,10,9,7,8,7,6,9,5,10,10,6,8,9,8
Francisco Torres,5,6,10,8,9,5,9,7,9,6,6,9,6,5,9,8,7,9,8,5
Isabel Sánchez,10,9,9,9,6,6,8,6,8,8,6,10,10,9,10,5,6,9,9,7
Javier Gómez,5,6,7,9,9,9,5,10,9,9,8,9,7,6,8,10,10,6,10,9
Lucía Fernández,7,9,10,6,6,10,10,7,9,7,6,6,5,8,7,9,5,6,6,5
Manuel Ortega,8,9,6,9,8,7,8,6,10,9,6,5,10,6,5,7,6,7,6,10
Natalia Ramos,5,9,6,6,9,8,7,8,8,9,6,10,8,8,7,5,5,8,7,10
Óscar Delgado,8,5,10,7,9,6,5,7,9,9,6,7,8,5,6,5,6,7,8,10
Patricia Navarro,8,7,5,5,9,10,9,9,10,9,6,9,9,10,10,6,9,8,9,7
Raúl Castro,10,7,6,5,10,6,5,10,8,5,6,8,9,10,9,9,8,10,5,8
Sara Molina,10,10,8,9,7,9,8,5,6,7,5,5,7,6,9,7,8,8,10,5
Tomás Herrera,5,6,9,5,6,8,6,7,7,5,7,9,5,6,7,7,8,9,8,7
Valeria Domínguez,8,6,7,10,7,8,7,8,8,7,10,10,9,9,10,6,5,5,6,8
Xavier Peña,10,9,5,6,5,6,7,8,6,7,10,8,9,9,6,5,9,9,5,5
Yolanda Vázquez,7,5,8,6,6,7,6,8,8,6,7,5,10,7,9,9,9,5,10,10
Zacarías León,9,9,6,7,8,7,10,7,5,9,5,7,8,5,6,8,9,10,8,5
