student_name,hw_week_1,hw_week_2,hw_week_3,hw_week_4,hw_week_5,hw_week_6,hw_week_7,hw_week_8,completion_rate,average_quality,current_grade
Elena Petrova,Submitted,Submitted,Submitted,Submitted,Submitted,Submitted,Submitted,Submitted,100,Excellent,92
Dmitri Ivanov,Submitted,Not Submitted,Submitted,Submitted,Submitted,Not Submitted,Submitted,Submitted,75,Good,78
Anastasia Sokolova,Submitted,Submitted,Submitted,Submitted,Submitted,Submitted,Submitted,Submitted,100,Excellent,94
Ivan Volkov,Not Submitted,Submitted,Not Submitted,Submitted,Not Submitted,Submitted,Submitted,Not Submitted,50,Satisfactory,62
Olga Fedorova,Submitted,Submitted,Submitted,Submitted,Submitted,Submitted,Submitted,Submitted,100,Very Good,89
Mikhail Popov,Submitted,Submitted,Not Submitted,Submitted,Submitted,Submitted,Not Submitted,Submitted,75,Good,81
Svetlana Morozova,Submitted,Submitted,Submitted,Not Submitted,Submitted,Submitted,Submitted,Submitted,87.5,Very Good,87
Andrei Novikov,Not Submitted,Not Submitted,Submitted,Submitted,Not Submitted,Submitted,Submitted,Submitted,62.5,Satisfactory,68
Natasha Kozlova,Submitted,Submitted,Submitted,Submitted,Submitted,Submitted,Submitted,Submitted,100,Excellent,95
Sergei Lebedev,Submitted,Not Submitted,Submitted,Not Submitted,Submitted,Submitted,Not Submitted,Submitted,62.5,Satisfactory,70
Tatiana Vasileva,Submitted,Submitted,Submitted,Submitted,Submitted,Submitted,Submitted,Submitted,100,Excellent,91
Viktor Orlov,Submitted,Submitted,Not Submitted,Submitted,Submitted,Submitted,Submitted,Not Submitted,75,Good,79
