student_name,section_a_grammar,section_b_vocabulary,section_c_reading,section_d_writing,section_e_listening,total_score,percentage,letter_grade,pass_fail
Kim Min-jun,18,16,22,19,20,95,79.2,B+,Pass
Park Ji-hye,22,21,24,23,23,113,94.2,A,Pass
Lee Sung-min,12,11,15,13,14,65,54.2,D,Fail
Choi Ye-jin,24,23,25,24,24,120,100,A+,Pass
Jung Hyun-woo,16,15,19,17,18,85,70.8,B-,Pass
Kang Soo-jin,20,19,23,21,22,105,87.5,A-,Pass
Yoon Jae-sung,10,9,13,11,12,55,45.8,F,Fail
Lim Hae-won,23,22,24,23,23,115,95.8,A,Pass
Shin Dong-hyun,17,16,20,18,19,90,75,B,Pass
Han Yu-na,25,24,25,25,24,123,102.5,A+,Pass
Bae Seung-ho,14,13,17,15,16,75,62.5,C-,Pass
Jang Min-seo,21,20,23,22,22,108,90,A,Pass
