student_name,week_1_score,week_2_score,week_3_score,week_4_score,week_5_score,week_6_score,week_7_score,week_8_score,improvement_percentage
Maria Santos,12,15,18,22,25,28,30,32,167
Juan Rodriguez,10,12,14,15,16,18,19,20,100
Sofia Fernandez,8,9,11,13,15,18,21,24,200
Carlos Mendez,14,16,19,22,24,26,28,30,114
Isabella Torres,6,8,10,12,14,16,18,20,233
Diego Ramirez,11,13,15,17,19,21,23,25,127
Valentina Cruz,9,10,12,14,16,19,22,25,178
Miguel Ortiz,7,8,9,11,13,15,17,19,171
Lucia Morales,13,15,18,21,24,27,29,31,138
Pedro Castillo,5,7,9,11,13,15,17,19,280
